destination_id,field_name,source,source_type,source_url,source_date,verification_status,confidence
BV-ASI-0037,women_safety_score; accessibility_score; hidden_gem_score,Not Available,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0038,name; destination_type,CPM List 2024_(3698).pdf,Official ASI PDF,Not Available,2024 label; PDF metadata created 2025-04-08,VERIFIED,HIGH
BV-ASI-0038,domestic_visitors; international_visitors; visitor_count,asi_monuments_clean.csv,Processed CSV,Not Available,2019-20 visitor fields,UNVERIFIED,MEDIUM
BV-ASI-0038,city; state; latitude; longitude; heritage_category; tourism_popularity,bharatverse_monuments.csv,Processed CSV,Not Available,Not Available,UNVERIFIED,LOW
BV-ASI-0038,women_safety_score; accessibility_score; hidden_gem_score,Not Available,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0039,name; destination_type,CPM List 2024_(3698).pdf,Official ASI PDF,Not Available,2024 label; PDF metadata created 2025-04-08,UNVERIFIED,NOT_AVAILABLE
BV-ASI-0039,domestic_visitors; international_visitors; visitor_count,asi_monuments_clean.csv,Processed CSV,Not Available,2019-20 visitor fields,UNVERIFIED,MEDIUM
BV-ASI-0039,city; state; latitude; longitude; heritage_category; tourism_popularity,bharatverse_monuments.csv,Processed CSV,Not Available,Not Available,UNVERIFIED,LOW
BV-ASI-0039,women_safety_score; accessibility_score; hidden_gem_score,Not Available,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0040,name; destination_type,CPM List 2024_(3698).pdf,Official ASI PDF,Not Available,2024 label; PDF metadata created 2025-04-08,UNVERIFIED,NOT_AVAILABLE
BV-ASI-0040,domestic_visitors; international_visitors; visitor_count,asi_monuments_clean.csv,Processed CSV,Not Available,2019-20 visitor fields,UNVERIFIED,MEDIUM
BV-ASI-0040,city; state; latitude; longitude; heritage_category; tourism_popularity,bharatverse_monuments.csv,Processed CSV,Not Available,Not Available,UNVERIFIED,LOW
BV-ASI-0040,women_safety_score; accessibility_score; hidden_gem_score,Not Available,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0041,name; destination_type,CPM List 2024_(3698).pdf,Official ASI PDF,Not Available,2024 label; PDF metadata created 2025-04-08,UNVERIFIED,NOT_AVAILABLE
BV-ASI-0041,domestic_visitors; international_visitors; visitor_count,asi_monuments_clean.csv,Processed CSV,Not Available,2019-20 visitor fields,UNVERIFIED,MEDIUM
BV-ASI-0041,city; state; latitude; longitude; heritage_category; tourism_popularity,bharatverse_monuments.csv,Processed CSV,Not Available,Not Available,UNVERIFIED,LOW
BV-ASI-0041,women_safety_score; accessibility_score; hidden_gem_score,Not Available,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0042,name; destination_type,CPM List 2024_(3698).pdf,Official ASI PDF,Not Available,2024 label; PDF metadata created 2025-04-08,VERIFIED,HIGH
BV-ASI-0042,domestic_visitors; international_visitors; visitor_count,asi_monuments_clean.csv,Processed CSV,Not Available,2019-20 visitor fields,UNVERIFIED,MEDIUM
BV-ASI-0042,city; state; latitude; longitude; heritage_category; tourism_popularity,bharatverse_monuments.csv,Processed CSV,Not Available,Not Available,UNVERIFIED,LOW
BV-ASI-0042,women_safety_score; accessibility_score; hidden_gem_score,Not Available,Not Available,Not Available,Not Available,NOT_AVAILABLE,NOT_AVAILABLE
BV-ASI-0043,name; destination_type,CPM List 2024_(3698).pdf,Official ASI PDF,Not Available,2024 label; PDF metadata created 2025-04-08,VERIFIED,HIGH
BV-ASI-0043,domestic_visitors; international_visitors; visitor_count,asi_monuments_clean.csv,Processed CSV,Not Available,2019-20 visitor fields,UNVERIFIED,MEDIUM
BV-ASI-0043,city; state; latitude; longitude; heritage_category; tourism_popularity,bharatverse_monuments.csv,Processed CSV,Not Available,Not Available,UNVERIFIED,LOW
