circle,monument_name,domestic_2019_20,foreign_2019_20,domestic_2020_21,foreign_2020_21,domestic_growth_pct,foreign_growth_pct,total_visitors_2019_20,total_visitors_2020_21,total_growth_pct,monument_hiddenness_score,visitor_data_quality,hiddenness_rank,tourism_hiddenness_score,unesco_match,unesco_match_flag,unesco_significance_score,asi_protection_score,visitor_trend_score,hidden_heritage_score_v2,hidden_heritage_rank,heritage_signal,recommendation_reason,ml_hidden_heritage_prediction,ml_rank,asi_name,matched_poi_name,match_type,match_confidence,latitude,longitude,poi_characteristics,poi_source,has_geo_match,high_confidence_geo_match
Leh,Ancient Palace Leh,56639,5671,2047,6,-96.39,-99.89,62310,2053,-96.70518375862622,58.17,available,49,58.17,,0,0.0,100.0,60.0,49.99,61,ASI protected,High heritage protection with comparatively low visitor demand,50.25,61,Ancient Palace Leh,,unmatched,0.0,,,,,False,False
Patna,Ancient Site of Vikramshila Antichak,65573,436,27583,27583,-57.94,6226.38,66009,55166,-16.42654789498402,57.67,available,51,57.67,,0,0.0,100.0,60.0,49.72,62,ASI protected,High heritage protection with comparatively low visitor demand,49.32,63,Ancient Site of Vikramshila Antichak,,unmatched,0.0,,,,,False,False
Guwahati,"Ranghar Pavillion, Jaisagar",69063,546,33939,75,-50.86,-86.26,69609,34014,-51.135629013489634,57.2,available,52,57.2,,0,0.0,100.0,60.0,49.46,63,ASI protected,High heritage protection with comparatively low visitor demand,49.27,64,"Ranghar Pavillion, Jaisagar",,unmatched,0.0,,,,,False,False
Shimla,Rock-cut Temples and Sculptures,73439,1709,53123,209,-27.66,-87.77,75148,53332,-29.03071272688561,56.53,available,53,56.53,,0,0.0,100.0,60.0,49.09,64,ASI protected,High heritage protection with comparatively low visitor demand,49.07,65,Rock-cut Temples and Sculptures,,unmatched,0.0,,,,,False,False
Delhi,Tughluqabad,76135,908,12856,109,-83.11,-88.0,77043,12965,-83.1717352647223,56.31,available,54,56.31,,0,0.0,100.0,60.0,48.97,65,ASI protected,High heritage protection with comparatively low visitor demand,49.01,66,Tughluqabad,,unmatched,0.0,,,,,False,False
Raipur,Temple of Laxman and Old sites including sculptures sirpur,63759,96,44742,44746,-29.83,46510.42,63855,89488,40.14251037506851,57.96,available,50,57.96,,0,0.0,100.0,40.0,48.88,66,ASI protected,High heritage protection with comparatively low visitor demand,49.37,62,Temple of Laxman and Old sites including sculptures sirpur,,unmatched,0.0,,,,,False,False
Jhansi,Kalinjar Fort,81507,137,80291,27,-1.49,-80.29,81644,80318,-1.6241242467297043,55.8,available,55,55.8,,0,0.0,100.0,60.0,48.69,67,ASI protected,High heritage protection with comparatively low visitor demand,48.58,67,Kalinjar Fort,,unmatched,0.0,,,,,False,False
Mumbai,"Cave Temple & Inscriptions, Bhaja",80319,1872,10976,24,-86.33,-98.72,82191,11000,-86.61653952379214,55.74,available,56,55.74,,0,0.0,100.0,60.0,48.66,68,ASI protected,High heritage protection with comparatively low visitor demand,48.58,67,"Cave Temple & Inscriptions, Bhaja",,unmatched,0.0,,,,,False,False
Sarnath,Observatory of Man Singh,83059,954,21379,11,-74.26,-98.85,84013,21390,-74.5396545772678,55.55,available,57,55.55,,0,0.0,100.0,60.0,48.55,69,ASI protected,High heritage protection with comparatively low visitor demand,48.49,69,Observatory of Man Singh,,unmatched,0.0,,,,,False,False
Agra,Ram Bagh,84051,355,18599,54,-77.87,-84.79,84406,18653,-77.90086012842688,55.5,available,58,55.5,,0,0.0,100.0,60.0,48.53,70,ASI protected,High heritage protection with comparatively low visitor demand,48.49,69,Ram Bagh,,unmatched,0.0,,,,,False,False
Lucknow,Site of Sahet mahet,74597,13628,27201,35,-63.54,-99.74,88225,27236,-69.12893170869935,55.11,available,59,55.11,,0,0.0,100.0,60.0,48.31,71,ASI protected,High heritage protection with comparatively low visitor demand,48.31,71,Site of Sahet mahet,,unmatched,0.0,,,,,False,False
